date,avg_return,holding_period,top_n,valid_count,cumulative_return
2023-06-19,-0.013974706377696103,5,10,10,1.3721393854062414
2023-06-29,-0.0007019477491413703,5,10,10,1.3711762152531473
2023-07-04,0.0010079875979933691,5,10,10,1.372558343872786
2023-07-14,-0.0006626558231547822,5,10,10,1.3716488100935988
2023-07-19,-0.014294788394219327,5,10,10,1.3520413806021283
2023-07-24,0.001851622113983023,5,10,10,1.3545448503214714
2023-08-03,-0.0019761483607577727,5,10,10,1.3518680687359357
2023-08-08,-0.007587147771057935,5,10,10,1.3416112459314613
2023-08-18,-0.0090394997959254,5,10,10,1.3294837513476525
2023-08-23,0.001876519322196098,5,10,10,1.331978553295602
2023-08-28,0.012762021787550953,5,10,10,1.3489772926133112
2023-09-07,0.002808717665763897,5,10,10,1.3527661889657885
2023-09-12,-0.008741096027055579,5,10,10,1.3409415298058847
2023-09-22,0.006857429242736824,5,10,10,1.3501369414651758
2023-09-27,0.005673846087322898,5,10,10,1.357797410667858
2023-10-12,0.007185977722673297,5,10,10,1.3675545126128208
2023-10-17,-0.012005308281114553,5,10,10,1.3511365990976745
2023-10-27,0.00020337538494385603,5,10,10,1.3514113870236275
2023-11-01,0.005625124943955532,5,10,10,1.3590132449263197
2023-11-06,0.0019092958878008687,5,10,10,1.3616080033263245
2023-11-16,0.0042702263686144526,5,10,10,1.3674223777258452
2023-11-21,-0.00581562011339437,5,10,10,1.3594699686424372
2023-12-01,-0.007516088109909799,5,10,10,1.3492520725753443
2023-12-06,0.007204000267622415,5,10,10,1.358972084867267
2023-12-11,-0.00040402368227489824,5,10,10,1.3584230279614302
2023-12-21,-0.009193840348158488,5,10,10,1.3459339035170907
2023-12-26,0.007434393418461922,5,10,10,1.3559401056710831
2024-01-05,-0.003892425157519739,5,10,10,1.350662210291679
2024-01-10,0.0001814886755705512,5,10,10,1.350907340187368
2024-01-15,-0.00997067259290566,5,10,10,1.3374378853950066
2024-01-25,-0.012111869752035731,5,10,10,1.3212390119256643
2024-01-30,-0.030098093218742537,5,10,10,1.2814722369804863
2024-02-19,0.0051316453157339735,5,10,10,1.2880482979826302
2024-02-29,0.0006137635485623184,5,10,10,1.2888388550767198
2024-03-05,0.004418746381386588,5,10,10,1.2945339071037805
2024-03-15,0.007181586653578494,5,10,10,1.3038307145336419
2024-03-20,-0.013711768837972167,5,10,10,1.2859528891721084
2024-03-25,-0.005227457466367422,5,10,10,1.2792306251402088
2024-04-09,-0.006660581106774184,5,10,10,1.270710205807193
2024-04-19,-0.009360222828713445,5,10,10,1.2588160751301174
2024-04-24,0.013532615354514586,5,10,10,1.275851148876933
2024-04-29,-0.007023218558137067,5,10,10,1.26689056741072
2024-05-09,-0.0069154376235749816,5,10,10,1.2581294647158958
2024-05-14,-0.003309684465356211,5,10,10,1.2539654531711186
2024-05-24,-0.011431873466792199,5,10,10,1.2396302787787377
2024-05-29,-0.0025730365327142142,5,10,10,1.2364406647843813
2024-06-03,-0.008332874117771965,5,10,10,1.2261375603706388
2024-06-13,-0.004910570941208052,5,10,10,1.220116524896759
2024-06-18,-0.009440995725858447,5,10,10,1.2085974100001593
2024-06-28,-0.008541844568176957,5,10,10,1.1982737587784367
2024-07-03,-0.011330247795564952,5,10,10,1.184697020164554
2024-07-08,0.007712120356210783,5,10,10,1.1938335461697072
2024-07-18,-0.009376730770850428,5,10,10,1.1826392904220642
2024-07-23,0.002652530125878501,5,10,10,1.185776276767956
2024-08-02,-0.0026882002989950227,5,10,10,1.1825886726262074
2024-08-07,-0.0019087323126137999,5,10,10,1.1803314274142347
2024-08-12,-0.008130480860911933,5,10,10,1.1707347653341105
2024-08-22,-0.0022478914619015193,5,10,10,1.1681030806509647
2024-08-27,0.017538438515466905,5,10,10,1.188589784710689
2024-09-06,0.0005987397838758013,5,10,10,1.1893014407015037
2024-09-11,-0.007399889131861753,5,10,10,1.1805007418959492
2024-09-26,0.07953065042037545,5,10,10,1.2743867337206698
2024-10-11,-0.008220023706587939,5,10,10,1.2639112445581246
2024-10-16,0.03644544440047763,5,10,10,1.3099750515488062
2024-10-21,0.009218463582532168,5,10,10,1.3220510088555344
2024-10-31,0.007218438694583928,5,10,10,1.331594153014071
2024-11-05,0.010827954883698738,5,10,10,1.3460125944263042
2024-11-15,0.0024751560505975835,5,10,10,1.349344185643579
2024-11-20,-0.01351113539198849,5,10,10,1.3311130136609564
2024-11-25,0.011056372687844124,5,10,10,1.3458302952296313
2024-12-05,0.01673720869214467,5,10,10,1.3683557377451003
2024-12-10,-0.0064374281194431796,5,10,10,1.3595470460415386
2024-12-20,-0.0026469662014633375,5,10,10,1.3559483709613673
2024-12-25,0.004431059104283197,5,10,10,1.3619566583354534
2024-12-30,-0.021670132707580562,5,10,10,1.3324428768073513
2025-01-09,0.020916908425693926,5,10,10,1.3603134624439988
2025-01-14,0.010746462932189295,5,10,10,1.3749320206443114
2025-01-24,-0.002754190753321939,5,10,10,1.3711451955866065
2025-02-13,-0.0009744754330773909,5,10,10,1.3698090482783254
2025-02-18,0.014310977899761346,5,10,10,1.3894123552951299
2025-02-28,0.011724319490685257,5,10,10,1.4057022696529156
2025-03-05,0.006086026653060945,5,10,10,1.4142574111322914
2025-03-10,0.002793040188472676,5,10,10,1.418207488918429
2025-03-20,-0.010901861155442505,5,10,10,1.4027463877846316
2025-03-25,-0.00037718104269377677,5,10,10,1.402217298439452
2025-04-09,0.014469752654641874,5,10,10,1.422507035915931
2025-04-14,-0.0018067274713721743,5,10,10,1.4199369533759214
2025-04-24,0.00622562152112109,5,10,10,1.4287769434314939
2025-04-29,0.004317907151114847,5,10,10,1.4349462696128847
2025-05-09,0.004442174957000278,5,10,10,1.4413205519964
2025-05-14,-0.00491865050601345,5,10,10,1.4342311999339954
2025-05-19,-0.004371855099284799,5,10,10,1.4279609489490106
2025-05-29,0.0019124927338196236,5,10,10,1.4306919138880538
2025-06-03,0.012746769684795333,5,10,10,1.4489286142042839
2025-06-13,-0.0014411692304060627,5,10,10,1.4468404628684377
2025-06-18,-0.00814320138795115,5,10,10,1.4350585496030637
2025-06-23,0.00843269688840879,5,10,10,1.4471599633689858
2025-07-03,0.003142162435498701,5,10,10,1.4517071750440416
2025-07-08,-0.0013761362190615096,5,10,10,1.449709428220992
2025-07-18,0.004692009780867319,5,10,10,1.4565114790376203
2025-07-23,0.005072184069359309,5,10,10,1.463899173358434
2025-07-28,0.0004439771374848939,5,10,10,1.464549111122988
2025-08-07,0.0033124762493284437,5,10,10,1.469400395269558
2025-08-12,0.0003232054905419929,5,10,10,1.4698753135451137
2025-08-22,-0.001107862798389869,5,10,10,1.4682468933669655
2025-08-27,0.006340172651686895,5,10,10,1.477555832166215
2025-09-01,-0.004065757666218936,5,10,10,1.4715484482143186
2025-09-11,0.0009840677006091446,5,10,10,1.472996551512088
2025-09-16,-0.0002617614302407701,5,10,10,1.4726109778280243
2025-09-26,0.002338747447809819,5,10,10,1.4760550429940362
