date,open,high,low,close,volume,amount,code,name,type
2025-04-23,7.644,7.668,7.398,7.419,152397600,1148176531,518800,黄金ETF,gold
2025-04-24,7.58,7.615,7.459,7.488,104046322,784518444,518800,黄金ETF,gold
2025-04-25,7.558,7.56,7.396,7.441,70254200,525422808,518800,黄金ETF,gold
2025-04-28,7.407,7.419,7.354,7.377,57012800,420848994,518800,黄金ETF,gold
2025-04-29,7.465,7.496,7.395,7.425,49005500,364594597,518800,黄金ETF,gold
2025-04-30,7.439,7.44,7.377,7.378,27419900,202983018,518800,黄金ETF,gold
2025-05-06,7.51,7.568,7.48,7.519,78895200,593673358,518800,黄金ETF,gold
2025-05-07,7.519,7.585,7.501,7.578,56514396,426904501,518800,黄金ETF,gold
2025-05-08,7.586,7.64,7.445,7.467,91320462,688386306,518800,黄金ETF,gold
2025-05-09,7.423,7.462,7.338,7.442,71371500,528116634,518800,黄金ETF,gold
2025-05-12,7.275,7.312,7.265,7.286,54620488,398351359,518800,黄金ETF,gold
2025-05-13,7.198,7.25,7.135,7.244,70978300,510220783,518800,黄金ETF,gold
2025-05-14,7.22,7.234,7.174,7.186,37769604,272058430,518800,黄金ETF,gold
2025-05-15,7.08,7.089,6.916,6.978,95083448,664484565,518800,黄金ETF,gold
2025-05-16,7.105,7.117,7.07,7.093,46584600,330584133,518800,黄金ETF,gold
2025-05-19,7.125,7.145,7.107,7.135,46772100,333319064,518800,黄金ETF,gold
2025-05-20,7.135,7.15,7.109,7.122,33518141,238798292,518800,黄金ETF,gold
2025-05-21,7.291,7.352,7.284,7.349,53704400,393129834,518800,黄金ETF,gold
2025-05-22,7.39,7.424,7.357,7.36,42253100,312286681,518800,黄金ETF,gold
2025-05-23,7.319,7.408,7.283,7.364,37922300,277894937,518800,黄金ETF,gold
2025-05-26,7.347,7.383,7.334,7.336,25652500,188782395,518800,黄金ETF,gold
2025-05-27,7.347,7.379,7.267,7.273,48067300,351646643,518800,黄金ETF,gold
2025-05-28,7.273,7.298,7.251,7.283,30711300,223532185,518800,黄金ETF,gold
2025-05-29,7.188,7.222,7.17,7.213,26056200,187596393,518800,黄金ETF,gold
2025-05-30,7.3,7.304,7.246,7.281,21393300,155568689,518800,黄金ETF,gold
2025-06-03,7.4,7.431,7.373,7.385,37376000,276891219,518800,黄金ETF,gold
2025-06-04,7.394,7.413,7.367,7.384,27462900,202973011,518800,黄金ETF,gold
2025-06-05,7.408,7.415,7.379,7.396,15712900,116241553,518800,黄金ETF,gold
2025-06-06,7.396,7.406,7.377,7.39,18621800,137575755,518800,黄金ETF,gold
2025-06-09,7.277,7.309,7.24,7.309,29917200,217582317,518800,黄金ETF,gold
2025-06-10,7.283,7.328,7.261,7.317,30387720,221506439,518800,黄金ETF,gold
2025-06-11,7.327,7.352,7.315,7.338,27092200,198699393,518800,黄金ETF,gold
2025-06-12,7.409,7.419,7.384,7.406,24318514,180108166,518800,黄金ETF,gold
2025-06-13,7.52,7.559,7.478,7.498,57913300,435783015,518800,黄金ETF,gold
2025-06-16,7.535,7.543,7.46,7.472,38997500,292459306,518800,黄金ETF,gold
2025-06-17,7.439,7.443,7.378,7.408,27625478,204761000,518800,黄金ETF,gold
2025-06-18,7.413,7.45,7.385,7.412,25346000,187796266,518800,黄金ETF,gold
2025-06-19,7.413,7.415,7.355,7.374,44980200,331876774,518800,黄金ETF,gold
2025-06-20,7.37,7.374,7.334,7.344,30583000,224788991,518800,黄金ETF,gold
2025-06-23,7.355,7.392,7.351,7.374,25377300,187074130,518800,黄金ETF,gold
2025-06-24,7.345,7.35,7.265,7.286,49287500,360138330,518800,黄金ETF,gold
2025-06-25,7.288,7.311,7.288,7.3,20914500,152673107,518800,黄金ETF,gold
2025-06-26,7.299,7.316,7.296,7.316,20809100,152001353,518800,黄金ETF,gold
2025-06-27,7.278,7.289,7.222,7.237,35963200,260688817,518800,黄金ETF,gold
2025-06-30,7.23,7.232,7.187,7.223,28892000,208420597,518800,黄金ETF,gold
2025-07-01,7.266,7.31,7.257,7.306,24625400,179285478,518800,黄金ETF,gold
2025-07-02,7.301,7.328,7.294,7.306,19682100,143802818,518800,黄金ETF,gold
2025-07-03,7.315,7.363,7.315,7.355,19896800,146100067,518800,黄金ETF,gold
2025-07-04,7.31,7.323,7.287,7.317,17288200,126304109,518800,黄金ETF,gold
2025-07-07,7.262,7.278,7.255,7.265,20485700,148869264,518800,黄金ETF,gold
2025-07-08,7.303,7.316,7.298,7.309,28092000,205329880,518800,黄金ETF,gold
2025-07-09,7.265,7.266,7.215,7.228,27560000,199349878,518800,黄金ETF,gold
2025-07-10,7.274,7.29,7.269,7.279,18010700,131141956,518800,黄金ETF,gold
2025-07-11,7.283,7.301,7.283,7.286,26433000,192719012,518800,黄金ETF,gold
2025-07-14,7.336,7.355,7.323,7.351,26464600,194063687,518800,黄金ETF,gold
2025-07-15,7.33,7.355,7.312,7.346,19194800,140801624,518800,黄金ETF,gold
2025-07-16,7.317,7.319,7.289,7.313,22141300,161739597,518800,黄金ETF,gold
2025-07-17,7.317,7.322,7.297,7.305,14424000,105418474,518800,黄金ETF,gold
2025-07-18,7.308,7.319,7.3,7.312,12808300,93624010,518800,黄金ETF,gold
2025-07-21,7.327,7.364,7.327,7.356,15686700,115268021,518800,黄金ETF,gold
