date,open,close,low,high,volume,change_pct,amount,stock_code,code,trade_date,preclose,pctChg,turn,tradestatus,adjustflag,peTTM,pbMRQ,psTTM,pcfNcfTTM
2021-10-11,4.8,4.69,4.85,4.64,60438.0,-2.087682672233815,283454.22000000003,300022.SZ,300022,2021-10-11,4.79,-2.087682672233815,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-12,4.67,4.54,4.67,4.5,50927.0,-3.1982942430703654,231208.58000000002,300022.SZ,300022,2021-10-12,4.69,-3.1982942430703654,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-13,4.6,4.55,4.6,4.42,48564.0,0.22026431718060735,220966.19999999998,300022.SZ,300022,2021-10-13,4.54,0.22026431718060735,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-14,4.55,4.54,4.59,4.45,40408.0,-0.219780219780219,183452.32,300022.SZ,300022,2021-10-14,4.55,-0.219780219780219,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-15,4.58,4.43,4.58,4.42,49012.0,-2.422907488986792,217123.15999999997,300022.SZ,300022,2021-10-15,4.54,-2.422907488986792,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-18,4.41,4.45,4.48,4.35,49648.0,0.4514672686230403,220933.6,300022.SZ,300022,2021-10-18,4.43,0.4514672686230403,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-19,4.45,4.41,4.5,4.4,46305.0,-0.8988764044943864,204205.05000000002,300022.SZ,300022,2021-10-19,4.45,-0.8988764044943864,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-20,4.42,4.33,4.43,4.31,43619.0,-1.814058956916098,188870.27,300022.SZ,300022,2021-10-20,4.41,-1.814058956916098,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-21,4.33,4.24,4.39,4.21,56632.0,-2.0785219399538035,240119.68000000002,300022.SZ,300022,2021-10-21,4.33,-2.0785219399538035,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-22,4.24,4.21,4.29,4.19,44665.0,-0.7075471698113289,188039.65,300022.SZ,300022,2021-10-22,4.24,-0.7075471698113289,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-25,4.2,4.19,4.22,4.12,42492.0,-0.47505938242279333,178041.48,300022.SZ,300022,2021-10-25,4.21,-0.47505938242279333,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-26,4.22,4.11,4.23,4.1,50955.0,-1.9093078758949944,209425.05000000002,300022.SZ,300022,2021-10-26,4.19,-1.9093078758949944,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-27,4.11,4.0,4.12,4.0,74993.0,-2.676399026763998,299972.0,300022.SZ,300022,2021-10-27,4.11,-2.676399026763998,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-28,4.0,3.89,4.04,3.89,59161.0,-2.749999999999997,230136.29,300022.SZ,300022,2021-10-28,4.0,-2.749999999999997,0.0,1,3,0.0,0.0,0.0,0.0
2021-10-29,3.99,4.13,4.15,3.94,84156.0,6.169665809768632,347564.27999999997,300022.SZ,300022,2021-10-29,3.89,6.169665809768632,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-01,4.14,4.14,4.2,4.09,64974.0,0.2421307506053294,268992.36,300022.SZ,300022,2021-11-01,4.13,0.2421307506053294,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-02,4.11,4.02,4.18,3.99,63114.0,-2.898550724637683,253718.27999999997,300022.SZ,300022,2021-11-02,4.14,-2.898550724637683,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-03,3.97,4.04,4.09,3.97,42005.0,0.4975124378109541,169700.2,300022.SZ,300022,2021-11-03,4.02,0.4975124378109541,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-04,4.12,4.15,4.28,4.1,89307.0,2.722772277227725,370624.05000000005,300022.SZ,300022,2021-11-04,4.04,2.722772277227725,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-05,4.09,4.09,4.2,4.08,67603.0,-1.4457831325301318,276496.27,300022.SZ,300022,2021-11-05,4.15,-1.4457831325301318,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-08,4.13,4.13,4.16,4.01,63586.0,0.9779951100244544,262610.18,300022.SZ,300022,2021-11-08,4.09,0.9779951100244544,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-09,4.12,4.19,4.2,4.12,48304.0,1.4527845036319764,202393.76,300022.SZ,300022,2021-11-09,4.13,1.4527845036319764,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-10,4.19,4.26,4.26,4.14,68940.0,1.6706443914080937,293684.39999999997,300022.SZ,300022,2021-11-10,4.19,1.6706443914080937,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-11,4.24,4.26,4.31,4.21,55282.0,0.0,235501.31999999998,300022.SZ,300022,2021-11-11,4.26,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-12,4.26,4.29,4.31,4.24,50442.0,0.7042253521126751,216396.18,300022.SZ,300022,2021-11-12,4.26,0.7042253521126751,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-15,4.3,4.34,4.36,4.23,71355.0,1.1655011655011593,309680.7,300022.SZ,300022,2021-11-15,4.29,1.1655011655011593,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-16,4.35,4.28,4.38,4.26,62615.0,-1.3824884792626668,267992.2,300022.SZ,300022,2021-11-16,4.34,-1.3824884792626668,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-17,4.28,4.36,4.38,4.21,82151.0,1.869158878504673,358178.36000000004,300022.SZ,300022,2021-11-17,4.28,1.869158878504673,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-18,4.36,4.26,4.43,4.26,53927.0,-2.2935779816513846,229729.02,300022.SZ,300022,2021-11-18,4.36,-2.2935779816513846,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-19,4.29,4.31,4.36,4.25,50642.0,1.1737089201877993,218267.02,300022.SZ,300022,2021-11-19,4.26,1.1737089201877993,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-22,4.31,4.37,4.41,4.27,64098.0,1.3921113689095321,280108.26,300022.SZ,300022,2021-11-22,4.31,1.3921113689095321,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-23,4.39,4.37,4.4,4.33,40536.0,0.0,177142.32,300022.SZ,300022,2021-11-23,4.37,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-24,4.39,4.36,4.4,4.32,46855.0,-0.22883295194507935,204287.80000000002,300022.SZ,300022,2021-11-24,4.37,-0.22883295194507935,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-25,4.37,4.38,4.44,4.35,54695.0,0.4587155963302614,239564.1,300022.SZ,300022,2021-11-25,4.36,0.4587155963302614,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-26,4.36,4.3,4.38,4.27,46921.0,-1.82648401826484,201760.3,300022.SZ,300022,2021-11-26,4.38,-1.82648401826484,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-29,4.29,4.33,4.34,4.18,49979.0,0.6976744186046657,216409.07,300022.SZ,300022,2021-11-29,4.3,0.6976744186046657,0.0,1,3,0.0,0.0,0.0,0.0
2021-11-30,4.33,4.36,4.42,4.31,56747.0,0.6928406466512715,247416.92,300022.SZ,300022,2021-11-30,4.33,0.6928406466512715,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-01,4.42,5.23,5.23,4.38,284901.0,19.95412844036697,1490032.2300000002,300022.SZ,300022,2021-12-01,4.36,19.95412844036697,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-02,5.55,5.8,6.28,5.46,1316167.0,10.898661567877621,7633768.6,300022.SZ,300022,2021-12-02,5.23,10.898661567877621,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-03,5.41,5.05,5.6,5.0,1028166.0,-12.93103448275862,5192238.3,300022.SZ,300022,2021-12-03,5.8,-12.93103448275862,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-06,5.01,4.76,5.04,4.76,570791.0,-5.742574257425748,2716965.1599999997,300022.SZ,300022,2021-12-06,5.05,-5.742574257425748,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-07,4.81,5.07,5.19,4.74,779667.0,6.512605042016828,3952911.6900000004,300022.SZ,300022,2021-12-07,4.76,6.512605042016828,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-08,5.0,4.96,5.08,4.82,491536.0,-2.1696252465483346,2438018.56,300022.SZ,300022,2021-12-08,5.07,-2.1696252465483346,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-09,4.9,4.88,5.03,4.8,392370.0,-1.6129032258064502,1914765.5999999999,300022.SZ,300022,2021-12-09,4.96,-1.6129032258064502,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-10,4.78,4.8,4.91,4.77,291172.0,-1.6393442622950838,1397625.5999999999,300022.SZ,300022,2021-12-10,4.88,-1.6393442622950838,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-13,4.9,4.76,4.93,4.72,291671.0,-0.8333333333333304,1388353.96,300022.SZ,300022,2021-12-13,4.8,-0.8333333333333304,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-14,4.76,4.91,4.95,4.71,375134.0,3.1512605042016917,1841907.94,300022.SZ,300022,2021-12-14,4.76,3.1512605042016917,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-15,4.88,5.03,5.11,4.86,458170.0,2.443991853360483,2304595.1,300022.SZ,300022,2021-12-15,4.91,2.443991853360483,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-16,4.98,5.04,5.2,4.9,396760.0,0.1988071570576455,1999670.4,300022.SZ,300022,2021-12-16,5.03,0.1988071570576455,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-17,4.97,5.07,5.14,4.94,345831.0,0.5952380952380931,1753363.1700000002,300022.SZ,300022,2021-12-17,5.04,0.5952380952380931,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-20,4.98,5.14,5.3,4.98,424978.0,1.380670611439827,2184386.92,300022.SZ,300022,2021-12-20,5.07,1.380670611439827,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-21,5.1,5.33,5.5,4.98,582948.0,3.6964980544747172,3107112.84,300022.SZ,300022,2021-12-21,5.14,3.6964980544747172,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-22,5.25,5.19,5.34,5.18,339699.0,-2.6266416510318913,1763037.81,300022.SZ,300022,2021-12-22,5.33,-2.6266416510318913,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-23,5.14,5.11,5.19,5.07,220107.0,-1.5414258188824692,1124746.77,300022.SZ,300022,2021-12-23,5.19,-1.5414258188824692,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-24,5.17,5.12,5.38,5.11,431390.0,0.1956947162426559,2208716.8,300022.SZ,300022,2021-12-24,5.11,0.1956947162426559,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-27,5.04,4.93,5.19,4.8,363509.0,-3.710937500000011,1792099.3699999999,300022.SZ,300022,2021-12-27,5.12,-3.710937500000011,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-28,4.89,4.98,5.09,4.89,220544.0,1.014198782961473,1098309.12,300022.SZ,300022,2021-12-28,4.93,1.014198782961473,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-29,4.98,5.18,5.25,4.87,344885.0,4.016064257028096,1786504.2999999998,300022.SZ,300022,2021-12-29,4.98,4.016064257028096,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-30,5.18,5.26,5.4,5.1,328198.0,1.5444015444015413,1726321.48,300022.SZ,300022,2021-12-30,5.18,1.5444015444015413,0.0,1,3,0.0,0.0,0.0,0.0
2021-12-31,5.27,5.11,5.3,5.11,230405.0,-2.851711026615955,1177369.55,300022.SZ,300022,2021-12-31,5.26,-2.851711026615955,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-04,5.13,5.25,5.34,5.12,255231.0,2.739726027397249,1339962.75,300022.SZ,300022,2022-01-04,5.11,2.739726027397249,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-05,5.28,5.57,5.99,5.1,541250.0,6.095238095238109,3014762.5,300022.SZ,300022,2022-01-05,5.25,6.095238095238109,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-06,5.43,5.6,5.72,5.36,522318.0,0.538599640933568,2924980.8,300022.SZ,300022,2022-01-06,5.57,0.538599640933568,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-07,5.41,5.27,5.55,5.25,413007.0,-5.892857142857144,2176546.8899999997,300022.SZ,300022,2022-01-07,5.6,-5.892857142857144,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-10,5.29,5.59,5.63,5.23,422942.0,6.072106261859589,2364245.78,300022.SZ,300022,2022-01-10,5.27,6.072106261859589,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-11,5.54,5.47,5.59,5.4,254697.0,-2.146690518783545,1393192.5899999999,300022.SZ,300022,2022-01-11,5.59,-2.146690518783545,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-12,5.5,5.46,5.52,5.37,186382.0,-0.1828153564899404,1017645.72,300022.SZ,300022,2022-01-12,5.47,-0.1828153564899404,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-13,5.46,5.38,5.52,5.32,196060.0,-1.465201465201471,1054802.8,300022.SZ,300022,2022-01-13,5.46,-1.465201465201471,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-14,5.39,5.11,5.42,5.08,296134.0,-5.018587360594784,1513244.74,300022.SZ,300022,2022-01-14,5.38,-5.018587360594784,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-17,5.06,5.2,5.21,5.03,197329.0,1.7612524461839474,1026110.8,300022.SZ,300022,2022-01-17,5.11,1.7612524461839474,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-18,5.17,4.96,5.21,4.93,230800.0,-4.615384615384621,1144768.0,300022.SZ,300022,2022-01-18,5.2,-4.615384615384621,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-19,4.96,5.06,5.1,4.94,149183.0,2.0161290322580516,754865.98,300022.SZ,300022,2022-01-19,4.96,2.0161290322580516,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-20,5.12,4.86,5.15,4.85,156859.0,-3.9525691699604626,762334.7400000001,300022.SZ,300022,2022-01-20,5.06,-3.9525691699604626,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-21,4.9,4.96,5.04,4.83,140994.0,2.0576131687242816,699330.24,300022.SZ,300022,2022-01-21,4.86,2.0576131687242816,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-24,4.95,5.4,5.6,4.89,477548.0,8.870967741935498,2578759.2,300022.SZ,300022,2022-01-24,4.96,8.870967741935498,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-25,5.52,5.38,5.6,5.18,404463.0,-0.37037037037037646,2176010.94,300022.SZ,300022,2022-01-25,5.4,-0.37037037037037646,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-26,5.36,5.51,5.64,5.23,407273.0,2.4163568773234223,2244074.23,300022.SZ,300022,2022-01-26,5.38,2.4163568773234223,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-27,5.55,5.28,5.55,5.2,281311.0,-4.174228675136105,1485322.08,300022.SZ,300022,2022-01-27,5.51,-4.174228675136105,0.0,1,3,0.0,0.0,0.0,0.0
2022-01-28,5.33,5.71,5.95,5.3,544246.0,8.14393939393938,3107644.66,300022.SZ,300022,2022-01-28,5.28,8.14393939393938,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-07,5.88,5.78,6.23,5.61,690841.0,1.2259194395796813,3993060.98,300022.SZ,300022,2022-02-07,5.71,1.2259194395796813,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-08,5.84,5.88,5.94,5.65,472569.0,1.730103806228378,2778705.7199999997,300022.SZ,300022,2022-02-08,5.78,1.730103806228378,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-09,5.89,6.32,7.05,5.79,802505.0,7.48299319727892,5071831.600000001,300022.SZ,300022,2022-02-09,5.88,7.48299319727892,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-10,6.15,6.74,6.85,6.12,750875.0,6.645569620253156,5060897.5,300022.SZ,300022,2022-02-10,6.32,6.645569620253156,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-11,6.51,6.31,6.58,6.27,566160.0,-6.3798219584569775,3572469.5999999996,300022.SZ,300022,2022-02-11,6.74,-6.3798219584569775,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-14,6.35,6.26,6.66,6.15,499043.0,-0.7923930269413626,3124009.1799999997,300022.SZ,300022,2022-02-14,6.31,-0.7923930269413626,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-15,6.13,6.07,6.27,5.99,416670.0,-3.0351437699680406,2529186.9,300022.SZ,300022,2022-02-15,6.26,-3.0351437699680406,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-16,6.06,5.97,6.11,5.84,413898.0,-1.6474464579901205,2470971.06,300022.SZ,300022,2022-02-16,6.07,-1.6474464579901205,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-17,5.9,6.17,6.25,5.81,512804.0,3.350083752093802,3164000.68,300022.SZ,300022,2022-02-17,5.97,3.350083752093802,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-18,6.02,6.17,6.22,5.95,308745.0,0.0,1904956.65,300022.SZ,300022,2022-02-18,6.17,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-21,6.12,6.51,6.69,6.06,459248.0,5.510534846029169,2989704.48,300022.SZ,300022,2022-02-21,6.17,5.510534846029169,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-22,6.45,6.86,6.9,6.38,573238.0,5.376344086021523,3932412.68,300022.SZ,300022,2022-02-22,6.51,5.376344086021523,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-23,7.46,7.05,8.18,6.92,1119657.0,2.7696793002915276,7893581.85,300022.SZ,300022,2022-02-23,6.86,2.7696793002915276,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-24,6.8,6.2,7.26,6.03,817560.0,-12.056737588652478,5068872.0,300022.SZ,300022,2022-02-24,7.05,-12.056737588652478,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-25,6.15,5.95,6.3,5.92,490560.0,-4.0322580645161255,2918832.0,300022.SZ,300022,2022-02-25,6.2,-4.0322580645161255,0.0,1,3,0.0,0.0,0.0,0.0
2022-02-28,5.9,5.68,5.93,5.61,389431.0,-4.537815126050426,2211968.08,300022.SZ,300022,2022-02-28,5.95,-4.537815126050426,0.0,1,3,0.0,0.0,0.0,0.0
2022-03-01,5.65,5.78,5.78,5.61,283810.0,1.760563380281699,1640421.8,300022.SZ,300022,2022-03-01,5.68,1.760563380281699,0.0,1,3,0.0,0.0,0.0,0.0
2022-03-02,5.88,6.01,6.2,5.78,412730.0,3.9792387543252428,2480507.3,300022.SZ,300022,2022-03-02,5.78,3.9792387543252428,0.0,1,3,0.0,0.0,0.0,0.0
2022-03-03,5.98,5.9,6.04,5.87,280839.0,-1.8302828618968259,1656950.1,300022.SZ,300022,2022-03-03,6.01,-1.8302828618968259,0.0,1,3,0.0,0.0,0.0,0.0
2022-03-04,5.85,5.74,5.95,5.69,248405.0,-2.7118644067796627,1425844.7,300022.SZ,300022,2022-03-04,5.9,-2.7118644067796627,0.0,1,3,0.0,0.0,0.0,0.0
2022-03-07,5.78,5.66,5.89,5.6,204252.0,-1.3937282229965153,1156066.32,300022.SZ,300022,2022-03-07,5.74,-1.3937282229965153,0.0,1,3,0.0,0.0,0.0,0.0
2022-03-08,5.62,5.38,5.65,5.38,246780.0,-4.946996466431097,1327676.4,300022.SZ,300022,2022-03-08,5.66,-4.946996466431097,0.0,1,3,0.0,0.0,0.0,0.0
