date,open,close,low,high,volume,amount,change_pct,stock_code
2020-03-11,19.689,19.199,19.819,19.169,66383.0,,-2.4886992737061187,601966.SH
2020-03-12,18.869,18.639,18.929,18.209,107101.0,,-2.916818584301273,601966.SH
2020-03-13,17.669,18.389,18.719,17.399,103889.0,,-1.3412736734803363,601966.SH
2020-03-16,18.389,16.889,18.389,16.689,150724.0,,-8.157050410571543,601966.SH
2020-03-17,16.759,17.339,17.529,16.749,93908.0,,2.664456154893724,601966.SH
2020-03-18,17.519,17.909,18.599,17.069,133993.0,,3.2873868158486586,601966.SH
2020-03-19,17.759,18.089,18.229,17.469,79033.0,,1.0050812440672183,601966.SH
2020-03-20,18.179,18.269,18.609,17.819,62945.0,,0.9950798828016972,601966.SH
2020-03-23,17.769,16.789,17.769,16.779,69806.0,,-8.101154961957402,601966.SH
2020-03-24,17.369,17.459,17.569,16.989,70437.0,,3.990708201798787,601966.SH
2020-03-25,17.929,18.219,18.369,17.769,64743.0,,4.353055730568767,601966.SH
2020-03-26,18.069,17.749,18.349,17.749,64192.0,,-2.5797244634722105,601966.SH
2020-03-27,18.069,17.769,18.199,17.689,41833.0,,0.1126824046425056,601966.SH
2020-03-30,17.719,17.589,17.869,17.079,49680.0,,-1.0130001688333556,601966.SH
2020-03-31,17.859,17.739,18.119,17.539,50400.0,,0.8528057308545334,601966.SH
2020-04-01,17.769,17.839,18.169,17.629,43827.0,,0.5637296352669185,601966.SH
2020-04-02,17.639,18.059,18.079,17.559,54760.0,,1.233252985032807,601966.SH
2020-04-03,18.069,18.149,18.459,18.009,50886.0,,0.4983664654742759,601966.SH
2020-04-07,18.499,18.269,18.569,18.179,59007.0,,0.661193454184783,601966.SH
2020-04-08,18.229,18.229,18.289,17.939,36221.0,,-0.2189501341069544,601966.SH
2020-04-09,18.289,17.939,18.349,17.919,34499.0,,-1.5908716879697191,601966.SH
2020-04-10,17.969,17.659,18.019,17.639,38896.0,,-1.5608450861252066,601966.SH
2020-04-13,17.679,17.889,18.069,17.639,23043.0,,1.3024520074749413,601966.SH
2020-04-14,18.119,19.279,19.419,18.119,122153.0,,7.770138073676569,601966.SH
2020-04-15,19.159,19.219,19.419,18.749,80642.0,,-0.3112194615903285,601966.SH
2020-04-16,19.159,19.369,19.439,19.019,40878.0,,0.7804776523232082,601966.SH
2020-04-17,19.289,19.469,19.699,19.129,64106.0,,0.5162889152769967,601966.SH
2020-04-20,19.609,19.419,19.739,19.209,41991.0,,-0.2568185320252714,601966.SH
2020-04-21,19.409,19.309,19.449,18.869,49364.0,,-0.5664555332406396,601966.SH
2020-04-22,19.659,19.369,19.739,19.029,57170.0,,0.3107359262519926,601966.SH
2020-04-23,19.459,19.089,19.669,19.079,51107.0,,-1.4456089627755797,601966.SH
2020-04-24,19.119,18.639,19.159,18.479,50875.0,,-2.3573785950023574,601966.SH
2020-04-27,18.779,19.009,19.429,18.769,55008.0,,1.9850850367509,601966.SH
2020-04-28,19.059,18.889,19.169,18.379,38170.0,,-0.631279920037886,601966.SH
2020-04-29,19.069,19.409,19.419,18.889,37346.0,,2.752924982794225,601966.SH
2020-04-30,19.459,19.629,19.919,19.459,53492.0,,1.1334947704673135,601966.SH
2020-05-06,19.329,19.409,19.549,18.719,104317.0,,-1.1207906668704637,601966.SH
2020-05-07,19.429,19.349,19.429,19.139,40173.0,,-0.3091349374001684,601966.SH
2020-05-08,19.439,20.039,20.439,19.419,81067.0,,3.5660757661894804,601966.SH
2020-05-11,20.289,20.089,20.559,19.879,53830.0,,0.2495134487748851,601966.SH
2020-05-12,20.049,20.179,20.269,19.829,41526.0,,0.4480063716461702,601966.SH
2020-05-13,20.389,19.959,20.409,19.839,40767.0,,-1.0902423311363263,601966.SH
2020-05-14,19.899,18.169,19.899,17.819,264932.0,,-8.96838518963875,601966.SH
2020-05-15,18.069,17.559,18.069,17.069,212641.0,,-3.3573669436953057,601966.SH
2020-05-18,17.399,17.609,17.729,17.369,88171.0,,0.2847542570761474,601966.SH
2020-05-19,17.789,17.829,18.049,17.739,72411.0,,1.2493611221534362,601966.SH
2020-05-20,17.829,17.419,17.829,17.389,64552.0,,-2.299624207751416,601966.SH
2020-05-21,17.449,17.209,17.619,17.119,54970.0,,-1.2055801136689914,601966.SH
2020-05-22,17.299,17.369,17.549,16.979,72777.0,,0.929746063106518,601966.SH
2020-05-25,17.349,16.949,17.419,16.869,61706.0,,-2.418101214807977,601966.SH
2020-05-26,16.989,17.099,17.129,16.919,50424.0,,0.8850079650716713,601966.SH
2020-05-27,17.109,16.899,17.109,16.789,35695.0,,-1.1696590443885602,601966.SH
2020-05-28,16.929,16.769,17.039,16.689,39829.0,,-0.7692762885378013,601966.SH
2020-05-29,16.789,16.959,17.039,16.729,34584.0,,1.1330431152722251,601966.SH
2020-06-01,16.969,17.449,17.539,16.919,59266.0,,2.889321304322201,601966.SH
2020-06-02,17.519,17.419,17.629,17.299,36694.0,,-0.1719296234741318,601966.SH
2020-06-03,17.409,17.409,17.559,17.309,49854.0,,-0.057408576841389,601966.SH
2020-06-04,18.059,17.909,18.309,17.709,110922.0,,2.872077660979944,601966.SH
2020-06-05,17.679,17.519,17.819,17.399,62106.0,,-2.1776760288123365,601966.SH
2020-06-08,17.519,17.719,17.779,17.349,55078.0,,1.1416176722415905,601966.SH
2020-06-09,17.659,17.889,18.009,17.519,54549.0,,0.95942208928268,601966.SH
2020-06-10,18.009,18.259,18.469,17.869,83111.0,,2.068310134719664,601966.SH
2020-06-11,18.596,18.446,19.066,18.196,107659.0,"{'nd': '2019', 'fh_sh': '4.3', 'djr': '2020-06-10', 'cqr': '2020-06-11', 'FHcontent': '10派4.3元'}",1.0241524727531592,601966.SH
2020-06-12,18.016,18.356,18.496,18.006,50752.0,,-0.4879106581372694,601966.SH
2020-06-15,18.216,17.936,18.266,17.916,52583.0,,-2.28808019176292,601966.SH
2020-06-16,18.016,18.656,18.676,18.016,50632.0,,4.014272970561983,601966.SH
2020-06-17,18.796,18.996,19.016,18.456,56783.0,,1.8224699828473407,601966.SH
2020-06-18,18.996,18.956,19.256,18.806,41934.0,,-0.2105706464518797,601966.SH
2020-06-19,19.016,19.436,19.496,18.856,69813.0,,2.532179784764721,601966.SH
2020-06-22,19.426,18.896,19.466,18.846,53576.0,,-2.778349454620288,601966.SH
2020-06-23,18.916,18.716,19.096,18.596,39297.0,,-0.9525825571549572,601966.SH
2020-06-24,18.846,18.866,19.146,18.796,35061.0,,0.801453301987598,601966.SH
2020-06-29,18.746,18.296,18.806,18.196,67470.0,,-3.02130817343369,601966.SH
2020-06-30,18.456,18.596,18.726,18.306,43717.0,,1.639702667249665,601966.SH
2020-07-01,18.746,18.496,18.746,18.116,61002.0,,-0.5377500537750102,601966.SH
2020-07-02,18.456,18.526,18.766,18.326,60797.0,,0.1621972318339271,601966.SH
2020-07-03,18.616,18.976,19.436,18.556,83973.0,,2.4290186764547084,601966.SH
2020-07-06,19.266,19.606,19.766,19.186,103007.0,,3.319983136593607,601966.SH
2020-07-07,19.796,19.596,19.966,19.416,112369.0,,-0.0510047944506819,601966.SH
2020-07-08,19.646,19.796,19.896,19.506,80642.0,,1.0206164523371974,601966.SH
2020-07-09,19.826,20.086,20.146,19.826,86347.0,,1.464942412608594,601966.SH
2020-07-10,19.876,19.406,20.046,19.206,107060.0,,-3.38544259683361,601966.SH
2020-07-13,19.496,20.396,20.496,19.496,136281.0,,5.101514995362266,601966.SH
2020-07-14,20.676,21.146,21.366,20.246,202577.0,,3.677191606197283,601966.SH
2020-07-15,21.226,22.736,23.146,21.166,253478.0,,7.519152558403475,601966.SH
2020-07-16,22.836,21.786,22.836,21.386,161373.0,,-4.178395496129483,601966.SH
2020-07-17,21.646,21.076,21.976,20.886,134943.0,,-3.258973652804553,601966.SH
2020-07-20,21.596,23.326,23.346,21.326,193591.0,,10.675650028468397,601966.SH
2020-07-21,23.396,23.096,23.666,22.746,111967.0,,-0.9860241790277002,601966.SH
2020-07-22,23.436,23.066,23.436,22.766,78307.0,,-0.1298926220990703,601966.SH
2020-07-23,22.796,22.746,23.056,21.896,113646.0,,-1.3873233330443102,601966.SH
2020-07-24,22.726,21.436,22.726,21.406,92673.0,,-5.759254374395495,601966.SH
2020-07-27,21.746,21.146,21.866,20.616,87517.0,,-1.352864340362003,601966.SH
2020-07-28,21.156,21.616,21.826,21.156,65836.0,,2.222642580157008,601966.SH
2020-07-29,21.676,22.036,22.176,21.436,63080.0,,1.9430051813471567,601966.SH
2020-07-30,22.066,21.556,22.226,21.396,72411.0,,-2.178253766563809,601966.SH
2020-07-31,21.496,21.846,22.176,21.326,91630.0,,1.3453330859157564,601966.SH
